-90,143.14
-88,143.27
-86,143.6
-84,144.14
-82,144.87
-80,145.8
-77,147.57
-74,149.79
-71,152.48
-68,155.6
-65,159.19
-64,160.52
-63,161.87
-62,162.84
-61,162.98
-60,163.1
-59,163.21
-58,163.3
-57,163.37
-56,163.42
-55,163.44
-50,163.19
-45,162.28
-40,160.77
-35,158.79
-30,156.5
-25,154.04
-24,153.52
-23,153
-22.9,210.1
-22,208.98
-21,207.55
-20,205.86
-19,203.93
-18,201.76
-17,199.36
-16,196.68
-15,193.81
-14,190.72
-13,187.47
-12,184.02
-11,180.48
-10,176.88
-9,173.29
-8,169.72
-7,166.3
-6.75,165.51
-6.7,165.35
-6.62,165.18
-6.6,139.6
-6.5,139.49
-6,138.99
-5,138.22
-4,137.84
-3,138.08
-2.5,138.48
-2.25,138.77
-2.1875,138.85
-2.125,157.42
-2,157.63
-1.75,158.19
-1.5,159.02
-1.45,159.22
-1.44,159.26
-1.43,159.3
-1.42,159.34
-1.415,150.81
-1.41,150.83
-1.25,151.3
-1,152.13
-0.75,153
-0.5,153.98
-0.25,155.02
0,144.95
0.25,146.11
0.5,147.37
0.75,148.71
1,150.17
1.25,151.67
1.5,153.26
1.75,154.93
2,156.69
2.25,158.49
2.5,160.37
2.75,162.33
3,164.37
3.25,145.02
3.5,143.03
3.75,142.31
4,142.16
4.25,142.24
4.5,142.56
4.75,143.06
5,143.69
5.25,144.42
5.5,145.23
5.75,146.13
6,152.66
7,154.65
8,157.94
9,162.39
10,167.6
11,173.1
12,211.35
13,212.34
14,214.07
14.25,214.59
14.5,215.15
14.75,215.73
14.8,215.84
14.97,198.47
15,198.63
16,203.18
17,207.21
18,210.73
19,213.73
20,216.28
21,218.38
22,220.06
22.25,220.41
22.5,220.74
22.75,212.63
23,212.92
24,213.81
25,214.4
26,214.67
27,214.54
28,214.425
29,213.96
30,213.27
32,211.37
34,208.9
36,205.98
38,202.73
40,199.25
45,190.09
50,180.95
55,172.39
60,164.73
65,158.14
70,152.7
75,148.48
80,145.45
81,145
82,144.61
83,144.25
84,143.94
85,143.68
86,143.47
87,143.31
88,143.2
89,143.15
90,143.14
